party,text
BBB,"Mevrouw Van der Plas (BBB): Voorzitter. Geweld is altijd af te keuren; dat kunnen we hier niet vaak genoeg zeggen. Volgende week, op 27 mei, is er echter een commissiedebat Terrorisme/extremisme. Daar is de minister al bij. Ik denk dat dat de snelste weg is daarvoor. Over het demonstratierecht komt er ook nog een debat op 21 mei; dat zeg ik uit mijn hoofd. Daar zou de minister van Justitie dan bij gevraagd kunnen worden. Maar goed, dat kan je in de commissie regelen."
PvdD,"Mevrouw Ouwehand (PvdD): Wat we zagen, was opnieuw extreemrechts geweld. Het kabinet moet keihard normeren, begrenzen en optreden. Dat doet het niet. Daar moeten we dus een debat over voeren, maar straks vraagt de heer Klaver over dit afschuwelijke geweld een breder debat aan, met ook de minister-president erbij. Dat heeft dus onze voorkeur, maar we vinden absoluut dat hier een debat over gevoerd moet worden."
Lid Keijzer,"Mevrouw Keijzer (Lid Keijzer): Er was een aanvraag voor het vragenuurtje van mevrouw De Vos, die net even wat eerder was dan ik, om vragen te stellen over het statement van de minister-president, dat volstrekt wereldvreemd en onder de maat was. Er staat van mevrouw De Vos een verzoek om heel snel een asieldebat te hebben, evenals van de heer Klaver. Ik denk dat we die bij elkaar kunnen stoppen. Volgens mij komt daar steun voor. Maar geen steun voor dit aparte verzoek. Ik dacht trouwens dat de heer El Abassi het had over het rapport van de Civil Commission over 7 oktober …"
DENK,"De heer El Abassi (DENK): Voorzitter, ik vind het schandalig. Laat ik het daarbij houden. Voorzitter. Dan mijn volgende verzoek. Ook hiervoor heb ik hier bijna wekelijks gestaan en sta ik hier bijna wekelijks. Er vinden wekelijks aanvallen op moskeeën plaats. Opnieuw is een moskee beklad met intimiderende en discriminerende symbolen. Inmiddels zijn extra cameratoezicht en politiebewaking nodig. Keer op keer kaart ik hier de groeiende moslimhaat aan. Burgemeesters spreken over aantasting van het veiligheidsgevoel en groeiende spanningen in de samenleving, maar vanuit de Kamer blijft het steeds stil. Ik verzoek om een debat met de minister van Justitie en Veiligheid over de toename van moslimhaat en de angstaanjagende aanvallen op moskeeën, waar ikzelf echt bang van word, iedere keer weer."
BBB,"Mevrouw Van der Plas (BBB): Ook hier geldt: er is een commissiedebat Discriminatie en racisme op 21 mei. Daar past dit onderwerp heel goed tussen. Het is ook sneller. Hetzelfde geldt voor 27 mei. Dan is er een debat Terrorisme en extremisme. De heer El Abassi zou kunnen overwegen om bij het commissiedebat van 21 mei ook de minister van Justitie en Veiligheid erbij te vragen. Dus we keuren alles af wat de heer El Abassi naar voren brengt, in de zin van de acties die zijn gepleegd, de davidsterren. Laat daar geen misverstand over bestaan. Dat is afschuwelijk, maar laten we dit gewoon in de commissiedebatten bespreken."
GroenLinks-PvdA,"De heer Klaver (GroenLinks-PvdA): Voorzitter, dank. De bonden hebben een ultimatum gesteld aan het kabinet. Er was een meerderheid voor een debat. Ik heb inmiddels begrepen dat een brief aanstaande is en op korte termijn naar de Kamer komt. Ik zou u willen verzoeken om zodra die brief er is, direct een debat in te plannen en er niet te lang overheen laten gaan."
VVD,"Mevrouw Michon-Derkzen (VVD): De heer Klaver zegt hier iets anders dan ik op de regeling lees. Ik denk dus dat het van belang is, want het luistert nauw, dat we scherp hebben waarvoor we hier steun geven. Vorige week hebben we vanuit de coalitie ook gezegd dat we een brief willen van het kabinet en dat we daarna een debat kunnen hebben. In de regeling staat: we willen zo snel mogelijk een debat hebben. Daar hoort u nu ook een reactie op. Wat mij betreft gaan we met het kabinet in debat nadat er een brief is gekomen, dus niet daarvoor, en hebben we dus ook niet ""zo spoedig mogelijk"" een debat."
JA21,"De heer Ceulemans (JA21): Onze lijn is dezelfde als die van vorige week: er valt iets te bespreken op het moment dat er een reactie van het kabinet is. Daarvoor een debat is een totale herhaling van zetten. We willen dus eerst de reactie van het kabinet afwachten. Als die er is, dan kan daarover het debat gevoerd worden."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Voorzitter, dank u wel. Afgelopen week vergaderde de Kamer in eerste termijn over de herindeling van Hilversum en Wijdemeren. Dat kregen we niet af. Gezien de planning, de verkiezingen die in november ingepland staan en het feit dat dit ook op tijd door de Eerste Kamer behandeld moet worden, wil ik volgens mij met brede steun van de commissie vragen om dit debat nog deze week te houden en volgende week te stemmen over dit wetsvoorstel."
Groep Markuszower,"De heer Heutink (Groep Markuszower): Vorige week stond ik hier om een debat aan te vragen over DigiD. Omdat we geen tijd meer te verliezen hebben, sta ik hier vandaag opnieuw. Vorige week gaven een aantal fracties aan dat ze de BTI-toets willen afwachten, of de technische briefing over de risicoanalyse, maar wachten is geen optie, want nu blijkt dat Solvinity bij Binnenlandse Zaken per brief heeft aangegeven helemaal niet te gaan wachten op ons. Wij kunnen dus met z'n allen wachten tot we een ons wegen, maar dan zijn we DigiD gewoon kwijt. Ik wil dus een brief van het kabinet en ik wil deze of volgende week een debat hebben met de staatssecretarissen van Binnenlandse Zaken en Koninkrijksrelaties en van Economische Zaken en Klimaat, over DigiD."
GroenLinks-PvdA,"Mevrouw Kathmann (GroenLinks-PvdA): De Kamer is verkeerd geïnformeerd, blijkt uit nieuwe informatie. Daar blijkt ook uit dat we echt geen tijd meer hebben. Er liggen heel stevige, bijna unanieme Kameruitspraken dat DigiD volledig in Nederlandse handen gebracht moet worden. De tijd is echt heel beperkt, dus we moeten het debat over DigiD zo snel mogelijk voeren. Steun."
D66,"Mevrouw El Boujdaini (D66): Geen steun, want zoals we vorige week ook al hebben gezegd, willen we echt eerst de resultaten van de BTI-toets afwachten. Daarna willen we ook nog een kabinetsreactie. Zo hebben we alle informatie om het debat echt goed met elkaar te kunnen voeren. Het is heel belangrijk. Daarom kunnen we dit niet doen wanneer de informatie die we hebben onvolledig is."
Groep Markuszower,"De heer Heutink (Groep Markuszower): Ik kan het wel kort houden, voorzitter. De gasopslag is vandaag voor 12,7% gevuld, terwijl dat vorig jaar nog het dubbele was. Nu zijn de gasprijzen torenhoog, moeten we duur gas inkopen en dat mogelijk goedkoop weer verkopen als de prijzen dalen. Wie draait daarvoor op? Dat is juist de belastingbetaler. Tegelijkertijd zal wachten resulteren in een gasopslag die niet voldoende gevuld zal zijn. Je kunt immers maar zoveel gas per dag opslaan. Ik wil dat we ervoor zorgen dat er voldoende gas is, maar ook dat de Nederlandse belastingbetaler niet de dupe wordt van deze systematiek. Daarom wil ik een debat met de minister van Klimaat en Groene Groei hierover."
Volt,"De heer Dassen (Volt): Dank, voorzitter. Vorige week stond ik hier ook om een debat aan te vragen met de minister van Justitie en Veiligheid over het verkeerd informeren van de Kamer ten aanzien van contracten met Palantir, een bedrijf dat AI gebruikt en waar de Nederlandse overheid zaken mee doet, terwijl we weten dat dit bedrijf is opgericht door mensen met een antidemocratisch geluid, en wordt ingezet voor deportaties en voor het moorden in Gaza. Het lijkt me goed om hier als Kamer zo snel mogelijk een debat over te hebben. Vorige week waren er partijen zoals de PVV, de VVD en het CDA die niet naar voren kwamen omdat ze niet bereid waren steun te geven. Ik bied ze graag een herkansing."
Volt,De heer Dassen (Volt): Zeker. De overheid wil graag 2 miljard investeren in Tata Steel. Afgelopen week kwam er weer verschillend nieuws naar buiten. Dat ging onder andere over een verlies van 150 miljoen en een nieuwe rechtszaak die is gestart. Maar er was ook het nieuws dat de vergunning voor de kooksgasfabrieken mogelijk wordt ingetrokken. Dat gaat wel degelijk een heel grote invloed hebben op de transitie naar groen staal. Ik zou graag een reactie van het kabinet ontvangen over wat de gevolgen hiervan zijn voor de maatwerkafspraken en voor het plan dat Tata heeft ingeleverd. Ik zou hier vervolgens graag een debat over willen voeren met de minister van KGG.
GroenLinks-PvdA,"Mevrouw Tseggai (GroenLinks-PvdA): Dank u wel, voorzitter. Het is de afgelopen tijd heel veel gegaan over noodpakketten, voedselvoorraden en gasvoorraden in Europees Nederland. Het wordt tijd dat we het ook gaan hebben over Caribisch Nederland. De Algemene Rekenkamer concludeerde recent dat er bij rampen nauwelijks voorraden in Caribisch Nederland zijn. Op Saba is er bijvoorbeeld drinkwater voor maar één dag. Dat is overigens ook tegen de Europese regels in. Het lijkt mij dan ook goed om een debat te hebben over weerbaarheid op de BES-eilanden, ook vanwege het verhoogde risico in het gebied op natuurgeweld, dat wij hier in Europees Nederland niet hebben."
PVV,"Mevrouw Vondeling (PVV): Dank. 43% van de 130.000 Oekraïners wil in Nederland blijven, ook als de oorlog ten einde komt. Zij willen niet terug naar Oekraïne. Ze willen zelfs het liefst een Nederlands paspoort. Driekwart van de Oekraïners wil graag een Nederlands paspoort. Ons land zit propvol, overvol. Nederland kan het niet meer aan. Oekraïners moeten terug naar Oekraïne, beginnend met de Oekraïense mannen die hun thuisland kunnen helpen verdedigen en heropbouwen. Daarom wil ik graag een debat met de minister van Asiel en Migratie."
GroenLinks-PvdA,"De heer Stultiens (GroenLinks-PvdA): Dank, voorzitter. Het kabinet was van plan om de hypotheekrenteaftrek te verruimen, met maar liefst 280 miljoen. Vorige week hebben we dat met een meerderheid van de Kamer teruggefloten en gevraagd die niet te verruimen. Binnen een uur zei de VVD: deze motie gaat niet worden uitgevoerd. Het kabinet heeft nog geen brief gestuurd waarin het zegt die wel uit te gaan voeren. Daarom is het de hoogste tijd voor een debat met de staatssecretaris van Financiën, want moties dienen gewoon uitgevoerd te worden."
SP,"De heer Jimmy Dijk (SP): Voorzitter. Wel steun. Het valt me op dat aangenomen moties de laatste tijd niet of heel karig worden uitgevoerd. Ik zou het fijn vinden als collega-Kamerleden toch dit soort debatten gaan steunen, ook als moties misschien niet heel erg in hun lijn liggen. Anders houdt het wel een keertje op. Dan zijn die stemmingen, waar we net een uur mee bezig zijn geweest, weinig waard."
PVV,"Mevrouw Van Meetelen (PVV): Voorzitter, dank. Nederland werd afgelopen weekend weer opgeschrikt door een vreselijke zaak rond de mishandeling van kinderen, ditmaal in Stadskanaal. We hebben het er vanmiddag in het vragenuurtje ook over gehad. De casussen stapelen zich op. Er is Kamerbreed al overeenstemming over een debat over jeugdzorg en jeugdhulpverlening. De vraag is om dit zo spoedig mogelijk in te plannen. Ook wil ik een minuut extra spreektijd aanvragen voor dat debat."
Groep Markuszower,"Mevrouw Moinat (Groep Markuszower): Voorzitter. Van harte steun voor het debat dat ik toentertijd heb aangevraagd. Wel wil ik daar de kanttekening bij maken dat ik, mochten de rapporten later zijn, opnieuw een debat ga aanvragen. Ik hoop dat de betreffende bewindspersonen mede uitgenodigd worden door de nu uitgenodigde bewindspersoon, want we moeten iedereen erbij hebben."
GroenLinks-PvdA,"Mevrouw Westerveld (GroenLinks-PvdA): Steun, maar wel met het dilemma dat de kans natuurlijk groot is dat de inspectie dit nog moet onderzoeken en dat die rapporten later komen. Zo snel mogelijk inplannen is wat in strijd daarmee, dus ik zou heel graag willen dat dit debat snel wordt ingepland. Ik heb straks zelf ook nog het voorstel om een apart debat te hebben over jeugdbescherming, voor als die rapporten er zijn. Dan kunnen we een uitgebreid debat over het stelsel voeren."
D66,"Mevrouw Heera Dijk (D66): Voorzitter. Gelijkwaardigheid binnen het Koninkrijk vraagt om meer dan goede intenties. Het vraagt om elkaar tijdig betrekken en samen optrekken, zeker bij gevoelige onderwerpen als het slavernijverleden. Het bericht dat er geen contact is geweest met de Caribische landen in ons Koninkrijk in aanloop naar de stemmingen over de VN-resolutie over de slavenhandel, is zorgelijk. Nederland is dit formeel verplicht. Ook moreel gezien zou dat gepast zijn geweest. Juist in internationale dossiers die ons allemaal raken, is gezamenlijke afstemming van groot belang."
SP,"De heer Jimmy Dijk (SP): Dank u wel, voorzitter. Het zal niet voor het eerst zijn dat er een debatverzoek komt om ervoor te zorgen dat ouders, gedupeerden van het toeslagenschandaal, de informatie krijgen waarop gebaseerd is dat zij zouden hebben gefraudeerd en waardoor ze door de mangel en ellende heen zijn gehaald. Er stond een belangwekkend artikel in de krant, waarin stond dat de Ombudsman heeft aangegeven dat de Uitvoeringsorganisatie Herstel Toeslagen en het ministerie nog steeds te weinig oog hebben voor de informatiebehoefte van ouders, en dat het niet per se alleen maar gaat over de documenten en alle dossiers, maar dat ook vragen van ouders moeten worden beantwoord op een heel menselijke manier."
SP,"De heer Jimmy Dijk (SP): Dan mijn tweede verzoek, voorzitter. We hebben al jarenlang mooie politieke Haagse termen als ""prachtwijken"", ""krachtwijken"" en ""kwetsbare wijken"". Er zijn allerlei ""wijken"", waarbij heel vaak wordt gesproken over mensen en te vaak niet met mensen. In het verleden vond veel werk dicht bij de mensen plaats, in de buurten en wijken zelf. Dat was niet alleen goed voor de samenhang van wijken, maar ook voor jonge mensen die een goede en rijke toekomst wilden hebben. Daarom zou ik graag namens de SP een debat willen aanvragen over het organiseren van werk in wijken. Het gaat om kracht voor de wijkeconomie en om werkplaatsen, ondernemers, winkeliers en middenstand in onze buurten en wijken. We moeten ervoor zorgen dat mensen echt werk hebben in hun eigen wijken en buurten. Dat versterkt de samenhang."
DENK,"De heer Van Baarle (DENK): Voorzitter. Afgelopen week waren we allemaal getuige van uitspraken van de heer Markuszower, die weer een nieuw dieptepunt vormden van de demonisering van Palestijnen. Hij zei: ""De Nederlandse overheid moet ze met geweld tegenhouden, misschien met nog meer geweld dan waar ze vandaan zijn gekomen. Die mensen moet je met geweld, echt met geweld en desnoods maximaal geweld, tegenhouden."""
DENK,"De heer Van Baarle (DENK): Ik wil een brief van de minister-president waarin staat wat het kabinet vindt van deze uitspraken en of het kabinet nog met zo'n soort politieke partij wenst samen te werken. Ik wil ook graag een brief van het Presidium. Wat vindt het Presidium ervan dat dit soort uitspraken in het gebouw van de Kamer worden gedaan? Ik wil zo snel mogelijk een debat met de minister-president om dit soort demonisering, oproepen tot geweld en taalgebruik te stoppen."
PvdD,"Mevrouw Ouwehand (PvdD): Het kabinet moet optreden tegen de structurele ontmenselijking van en de genocide op de Palestijnen, en consequenties verbinden aan de weerzinwekkende uitspraken, de oproepen tot geweld tegen Palestijnse vluchtelingen, dus steun daarvoor. Ik heb al Kamervragen gesteld. Ik kreeg een nietszeggend antwoord terug. Ik wil een brief van het kabinet, een brief van het Presidium en een debat. De heer Klaver gaat straks een wat breder debat aanvragen over de normalisering van geweld, extreemrechts en deze uitspraken. Onze voorkeur heeft het om dat bredere debat te voeren, maar de heer Van Baarle heeft er absoluut gelijk in dat we hier de grens moeten trekken."
PVV,"De heer Wilders (PVV): Volgens mij is de context allemaal wat anders dan de collega doet voorkomen. Ik wil graag een principiëler punt maken, zowel nu als dadelijk voor de heer Klaver. Wij zijn Kamerleden en wij controleren het kabinet. Wij houden hier debatten over uitspraken en voorstellen van het kabinet. Wij gaan geen debatten voeren over collega's of uitspraken van collega's. Wij steunen dit verzoek dus niet en het verzoek van de heer Klaver ook niet. Ik moet er goed over nadenken of ik wel mee ga doen aan het debat als er een meerderheid voor is, want nogmaals, wij controleren als Kamerleden het kabinet en niet elkaar. Het staat iedereen vrij om te zeggen wat hij wil."
GroenLinks-PvdA,"Mevrouw Piri (GroenLinks-PvdA): Om daarop te reageren: daar heeft de heer Wilders natuurlijk gelijk in, totdat je de grens overgaat en oproept tot geweld. Dat maakt dit natuurlijk anders. Wij steunen het verzoek om een brief van het kabinet met daarin een reactie hierop. Wel willen wij graag een breder debat, dus het verzoek daarvoor gaan wij straks zelf indienen."
CDA,"De heer Krul (CDA): Het staat de heer Van Baarle vrij om informatieverzoeken te doen, zowel aan het Presidium als aan het kabinet, maar de stijlfiguur voor een plenair debat over uitspraken van een ander Kamerlid kunnen wij niet volgen. Het verzoek van Klaver voor een breder debat vinden wij in die zin veel passender, maar hiervoor geen steun."
BBB,Mevrouw Van der Plas (BBB): Ik sluit me aan bij de woorden van de heer Ellian en de heer Wilders. Wij gaan hier niet spreken over de uitspraken van een collega; wij controleren hier inderdaad het kabinet. Bovendien zijn er heel veel commissiedebatten waarbij dit onderwerp aan de orde kan komen. Dat zijn er elke week wel een aantal.
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Ik vond die uitspraken verwerpelijk en ik zie de verharding en verruwing, maar ik denk juist dat we ook een debat hebben te voeren over hoe we daar naar de toekomst toe beter mee omgaan. Dat vind ik een vraag richting het kabinet. Daarom zal ik straks het verzoek van collega Klaver steunen, maar het verzoek dat nu alleen hierop is gericht niet."
Groep Markuszower,"De heer Markuszower (Groep Markuszower): Ook eens en dank aan de heer Wilders, maar ik wil hier toch ook gezegd hebben dat ik nooit burgers heb opgeroepen tot het plegen van geweld, tegen niemand. Het geweldsmonopolie ligt echt alleen bij de overheid. Ik heb me misschien onhandig uitgedrukt. Daar neem ik afstand van. Dat spijt mij ook. Ik heb niet opgeroepen tot geweld, maar ik vind wel dat we naar een asielstop moeten werken en dat die asielstop maximaal moet worden gehandhaafd, conform de geldende fingerende geweldsinstructie. De context waaruit verkeerd wordt geciteerd, werp ik echt verre van mij."
DENK,"De heer Van Baarle (DENK): Voorzitter. Ik mag toch als ik mijn debatverzoek gedaan heb nog even vaststellen dat ik ook twee informatieverzoeken heb gedaan, één in de richting van de minister-president en één in de richting van het Presidium? Daarbij is het gebruikelijk dat het verzoek nog even formeel doorgeleid wordt. Ik wilde dat checken. Ik zie dat andere mensen wel vaak de ruimte krijgen om zo'n opmerking te maken. Dan constateer ik dat u … (Hilariteit)"
BBB,"Mevrouw Van der Plas (BBB): … eigenlijk tegen de Voorzitter wordt gezegd dat een Kamerlid niet gelijk behandeld wordt. Ik vind dat nogal wat, eerlijk gezegd. Ik wilde dat gezegd hebben. Ik vind dat we dat niet moeten doen. Je kunt het ermee eens zijn of je kunt het er niet mee eens zijn, maar ik vind niet dat we onze voorzitter moeten betichten van discriminatie. Dat is ongehoord."
DENK,"De heer Van Baarle (DENK): Ik heb zojuist gesproken met de familie van de opvarenden van de Global Sumud Flotilla. De verhalen zijn echt enorm zorgelijk. We horen dat het Israëlische bezettingsleger Nederlandse staatsburgers heeft mishandeld, dat mensen met verwondingen terugkomen naar Nederland en dat er ook nog sprake van is dat er op dit moment Nederlandse staatsburgers ontvoerd zijn op open zee. Dat is illegaal, en de Nederlandse regering doet er helemaal niks aan."
PvdD,"Mevrouw Teunissen (PvdD): Voorzitter. De familieleden van de opvarenden van het schip dat is geënterd, hebben nu geen contact met hun geliefden. De opvarenden van het vorige schip dat is geënterd, hebben 40 uur in detentie gezeten, waar ze zijn mishandeld door het Israëlische leger. We weten niet welke extra druk het Nederlandse kabinet op Israël zet om de gevangenen zo snel mogelijk vrij te krijgen. De Partij voor de Dieren steunt dit debat dus van harte. We moeten hier echt de druk gaan opvoeren. Dit zijn Nederlandse staatsburgers."
GroenLinks-PvdA,"Mevrouw Piri (GroenLinks-PvdA): Voorzitter. Ik heb net ook gesproken met familieleden en vrienden van de opvarenden. Als je het vergelijkt met andere Europese landen, is het echt schandalig hoe Nederland hiermee omgaat. Er is geen enkel bericht, geen enkele actieve communicatie naar de familieleden van de acht opvarenden en geen enkele veroordeling, zoals we uiteraard gewend zijn van regering op regering, van de illegale activiteit van Israël. Steun voor het debat, en ook steun voor een brief. Ik wil verzoeken om dat voor 18.00 uur te doen. De families willen gewoon antwoorden over wat het kabinet nu aan het doen is. Dus steun, en graag voor 18.00 uur vanavond."
FVD,"De heer Van Duijvenvoorde (FVD): Voorzitter. Ik was een beetje verbaasd dat er dit weekend allerlei afspraken zijn gemaakt tussen Nederland en India. Dat waren namelijk afspraken over snellere en flexibelere visa, dus het eenvoudiger maken voor Indiase studenten en professionals om naar Nederland te komen, inclusief langetermijnvisa. Kortom, meer migratie. Dit speelt ook tegen de achtergrond van de afspraken tussen de Europese Unie en India en de relatie tussen Nederland en de Europese Unie, want we kunnen het zelf invullen. Maar het grootste punt is dat wij dit hebben moeten vernemen via New Delhi. Dat is echt absurd, want het is aan de Kamer. Ik wil dus graag een debat met de minister, zodat we echt kunnen gaan kijken wat er speelt tussen Nederland en India en tussen de Europese Unie en India. Wij hebben gewoon recht op duidelijkheid daaromtrent."
SP,"De heer Jimmy Dijk (SP): Voorzitter. Terwijl daar gemeenschappen van mensen gebroken worden door oorlog en geweld en mensen op de vlucht raken, worden hier heel erg moedwillig, vanwege economische belangen, mensen uit hun gemeenschap getrokken. Voor economisch gewin worden er gemeenschappen stukgemaakt. Arbeids-, kennis- en studiemigratie is het overgrote deel van het totale aantal migratie. Ik vind het erg goed om hierover een debat aan te vragen, temeer omdat we al jaren horen van verschillende kabinetten dat we iets moeten gaan doen aan kennis-, studie- en arbeidsmigratie, maar daar helemaal niets aan gedaan wordt."
FVD,"Mevrouw De Vos (FVD): Dank, voorzitter. Zeven weken geleden is hier tijdens de regeling het verzoek gedaan om een plenair debat te organiseren over het asielbeleid. Dat is tot op heden nog niet ingepland. Wel is er gisteravond een spoedoverleg geweest met de premier en leden van het kabinet, met als enige uitkomst om een vliegend team van experts op te tuigen om gemeenten te helpen om opvang te realiseren. Maar volgens mij vraagt Nederland om duidelijkheid en concrete maatregelen. Daarom is het van het grootste belang dat de Kamer hierover bij elkaar komt. Mijn verzoek is dan ook om het debat naar aanleiding van dat eerder gedane verzoek zo spoedig mogelijk daadwerkelijk in te plannen, namelijk volgende week en anders de week daarna, en ook de premier daarbij aanwezig te laten zijn."
PVV,"De heer Wilders (PVV): Dit is precies het debat dat we hier moeten voeren, niet dat verzoek van DENK of wat de heer Klaver dadelijk namens PRO gaat zeggen, met allemaal zijstraten erbij. Het gaat over asiel. Ons land staat in brand en het kabinet doet er helemaal niets aan. Mevrouw De Vos heeft helemaal gelijk: hoe eerder dat debat is, hoe beter."
ChristenUnie,"Mevrouw Bikker (ChristenUnie): Sorry, dat was een verrassing! Ik dacht dat mevrouw Van der Plas twee keer aan bod kwam. Dit debat wordt volgens mij al voor de zomer ingepland. Ik vind dat de heer Klaver de actualiteit gewoon nog iets breder neerzet, dus dat debatverzoek zal ik straks ook steunen. Volgens mij gaan we het hier voor de zomer ook over hebben."
GroenLinks-PvdA,"De heer Klaver (GroenLinks-PvdA): Voorzitter. Er is grote onrust in Nederland. We zien overal rellen, al dan niet aangemoedigd door rechts-extremistische clubs. We zien brandstichting bij vluchtelingen in Loosdrecht, oproepen om vluchtelingen met geweld tegen te houden en een vuurwerkbom bij het partijkantoor van D66. Het is de hoogste tijd voor een plenair debat met de minister-president en de minister van Justitie en Veiligheid over het normaliseren van geweld in politiek en samenleving. Dat zou ik graag nog deze week willen houden."
PVV,"De heer Wilders (PVV): Absoluut geen steun, voorzitter. We moeten een debat hebben over asiel, de asielinstroom, hoe we onze grenzen sluiten en hoe we een asielstop krijgen. De heer Klaver heeft op papier ook nog staan, tenzij hij dat nu weg heeft gehaald, dat hij het wil hebben over de uitspraken van meneer Markuszower en de reactie van de premier daarop. Dat maakt het voor ons al helemaal staatsrechtelijk onjuist. De uitspraken van collega Markuszower — dat zei hij net zelf al — zijn in een andere context geplaatst. Wij gaan geen Kamerleden controleren en erover debatteren. Geen steun. Als dit een meerderheid haalt, weet ik eerlijk gezegd ook niet of ik er zal zijn."
